Episode Number,Total Reward,Running Average,p,i,d,joint index
1,-4.537080055542155,-4.537080055542155,187.696533203125,9.997252163884696e-07,9.860191345214844,0
2,-4.4721119925131365,-4.536430374911865,189.83779907226562,9.997852430387866e-07,9.825366973876953,0
3,-4.696722370980299,-4.53803329487255,183.0251007080078,1.0000084103012341e-06,9.540267944335938,0
4,-5.572734884598001,-4.548380310769804,159.89163208007812,1.000171437226527e-06,9.218172073364258,0
5,-7.240193517340204,-4.575298442835508,127.79849243164062,1.0004481509895413e-06,8.845126152038574,0
6,-9.136860452691622,-4.6209140629340695,102.42138671875,1.0011782478613895e-06,8.261632919311523,0
7,-11.009010882102972,-4.684795031125759,83.7959976196289,1.0022167771239765e-06,7.633828163146973,0
8,-12.707338442779314,-4.765020465242294,70.25328826904297,1.0035012110165553e-06,7.045114040374756,0
9,-4.623828990346581,-4.623828990346581,184.64352416992188,1.000214297164348e-06,9.582987785339355,0
10,-4.871176720741747,-4.626302467650533,178.04832458496094,1.0004309842770454e-06,9.241714477539062,0
11,-5.36219175104058,-4.633661360484434,166.30198669433594,1.0006351658375934e-06,8.92732048034668,0
12,-6.268840792862847,-4.650013154808218,146.2070770263672,1.0008079698309302e-06,8.71117877960205,0
13,-7.704685430475919,-4.680559877564895,120.77537536621094,1.0009072184402612e-06,8.610417366027832,0
14,-9.716294074309836,-4.730917219532345,95.4913101196289,1.0008042181652854e-06,8.625614166259766,0
15,-11.675895863650924,-4.8003670059735315,76.48019409179688,1.0009061952587217e-06,8.491116523742676,0
16,-13.425075843527816,-4.886614094349074,62.08327102661133,1.000898691927432e-06,8.463529586791992,0
17,-14.881035724234032,-4.986558310647924,53.295719146728516,1.001080022433598e-06,8.327935218811035,0
18,-15.508699332095436,-5.091779720862399,47.44215393066406,1.0012861366703874e-06,8.176102638244629,0
19,-16.16657307057491,-5.202527654359525,44.347190856933594,1.0012231541622896e-06,8.126185417175293,0
20,-16.41677233221818,-5.314670101138111,44.003990173339844,1.001467580863391e-06,8.002583503723145,0
21,-16.178175662484843,-5.423305156751578,45.67243576049805,1.0015193083745544e-06,8.00493049621582,0
22,-15.330045436987158,-5.522372559553934,49.5978889465332,1.0010961659645545e-06,8.084840774536133,0
23,-14.302498411890339,-5.610173818077298,55.69343185424805,1.0010924142989097e-06,8.052706718444824,0
24,-13.382169437933019,-5.687893774275855,63.08545684814453,1.0012795428337995e-06,7.974653244018555,0
25,-12.515825762933364,-5.75617309416243,71.0348892211914,1.0013674227593583e-06,7.891562461853027,0
26,-11.694887055956958,-5.815560233780375,78.29300689697266,1.001416990220605e-06,7.906614780426025,0
27,-10.822461297314016,-5.865629244415712,86.43816375732422,1.0018583225246402e-06,7.735546588897705,0
28,-9.96038874365154,-5.90657683940807,93.34590911865234,1.0019271030614618e-06,7.669325828552246,0
29,-9.343105052262114,-5.940942121536611,100.2482681274414,1.0019767842095462e-06,7.608752250671387,0
30,-8.948035766614977,-5.971013057987395,106.48123168945312,1.0018726470661932e-06,7.638760089874268,0
31,-8.400144227086823,-5.995304369678389,112.27000427246094,1.0016882470154087e-06,7.662843704223633,0
32,-7.876524732005766,-6.014116573301663,119.13158416748047,1.0015373845817521e-06,7.661132335662842,0
33,-7.3705127295271975,-6.027680534863918,125.93534088134766,1.0015393172579934e-06,7.647505760192871,0
34,-7.021224517792596,-6.037615974693204,133.07501220703125,1.0014933877755539e-06,7.608990669250488,0
35,-6.583522222389021,-6.043075037170162,140.69290161132812,1.0013864084612578e-06,7.607733726501465,0
36,-6.153897947091076,-6.044183266269371,147.58831787109375,1.0012259963332326e-06,7.609757900238037,0
37,-5.89020634111711,-6.042643497017849,155.6943817138672,1.0011573294832488e-06,7.590056419372559,0
38,-5.396107739360803,-6.036178139441279,166.07984924316406,1.0011295898948447e-06,7.554274559020996,0
39,-5.045575182215277,-6.026272109869018,175.79116821289062,1.0009912330133375e-06,7.574917316436768,0
40,-4.571956974012034,-6.0117289585104485,187.9199676513672,1.00090528576402e-06,7.548313617706299,0
41,-4.067855855108169,-5.992290227476426,204.63589477539062,1.0008155868490576e-06,7.5230207443237305,0
42,-3.6770590317307428,-5.969137915518969,222.99520874023438,1.0006733646150678e-06,7.5935564041137695,0
43,-3.1404609458856907,-5.940851145822636,249.56956481933594,1.0005541071222979e-06,7.647713661193848,0
44,-2.55102183025568,-5.906952852666967,290.11505126953125,1.000519773697306e-06,7.664599895477295,0
45,-2.0912070644055056,-5.868795394784352,331.45989990234375,1.0004872592617176e-06,7.720159530639648,0
46,-1.8825148866197692,-5.828932589702707,356.417236328125,1.0004700925492216e-06,7.73295783996582,0
47,-1.659347686642433,-5.787236740672104,389.8412780761719,1.0004586101786117e-06,7.664138317108154,0
48,-1.4726706415078101,-5.744091079680461,421.8193664550781,1.0004023351939395e-06,7.750034809112549,0
49,-1.282844716601107,-5.699478616049667,465.32647705078125,1.000378460958018e-06,7.740932464599609,0
50,-1.084495535625956,-5.65332878524543,523.6176147460938,1.0003699344451888e-06,7.739518642425537,0
51,-0.8991009949207953,-5.605786507342183,607.8958740234375,1.000358452074579e-06,7.711558818817139,0
52,-0.7441258635535357,-5.557169900904296,706.2733154296875,1.0003202532971045e-06,7.780795574188232,0
53,-0.625285344126522,-5.507851055336518,825.2180786132812,1.0003088846133323e-06,7.797271728515625,0
54,-0.5315520607778907,-5.458088065390932,965.37548828125,1.0003221859733458e-06,7.732580184936523,0
55,-0.4740288676422532,-5.408247473413445,1108.8511962890625,1.0003021770899068e-06,7.813251972198486,0
56,-0.42863908404259426,-5.358451389519736,1264.1365966796875,1.0002830777011695e-06,7.8957014083862305,0
57,-0.3941737749584047,-5.308808613374123,1440.4876708984375,1.0002830777011695e-06,7.934543609619141,0
58,-0.3658633551051235,-5.259379160791433,1664.7215576171875,1.0002802355302265e-06,7.961873531341553,0
59,-0.34482897156035963,-5.210233658899122,1907.45458984375,1.0002687531596166e-06,7.946626663208008,0
60,-0.3328538807835358,-5.161459861117966,2127.81591796875,1.0002601129599498e-06,8.055412292480469,0
61,-0.3209752106295249,-5.1130550146130815,2405.458251953125,1.0002544286180637e-06,8.058396339416504,0
62,-0.31245062257256845,-5.0650489706926765,2706.220947265625,1.0002544286180637e-06,8.04085636138916,0
63,-0.30570352638256787,-5.0174555162495755,3006.937744140625,1.0002496537708794e-06,8.015462875366211,0
64,-0.30063873669738733,-4.970287348454054,3345.673095703125,1.0002506769524189e-06,8.05571174621582,0
65,-0.29763012663315624,-4.923560776235845,3618.584228515625,1.0002496537708794e-06,8.150773048400879,0
66,-0.2952323689802313,-4.877277492163289,3895.870849609375,1.0002487442761776e-06,8.159013748168945,0
67,-0.2931147384747769,-4.831435864626404,4190.1357421875,1.0002478347814758e-06,8.1235990524292,0
68,-0.29175081794447477,-4.786039014159584,4465.50048828125,1.000244878923695e-06,8.178060531616211,0
69,-0.29070042358776826,-4.741085628253867,4768.9296875,1.000242036752752e-06,8.302433013916016,0
70,-0.28884967178394405,-4.696563268689168,5158.67626953125,1.0002439694289933e-06,8.291690826416016,0
